14000cdb0	api-ms-win-core-synch-l1-2-0.dll	refs=14000a258
14000cdf8	kernel32.dll	refs=14000a26e
14000ce18	InitializeConditionVariable	refs=14000a288
14000ce38	SleepConditionVariableCS	refs=14000a29c
14000ce58	WakeAllConditionVariable	refs=14000a2b0
14000cea0	ERROR : Unable to initialize critical section in CAtlBaseModule\n	refs=14000b00b
14000cfa8	%Ts (%Ts:%d)\n%Ts	refs=14000b2ea
14000cfc0	d:\softsetup\microsoft visual studio\2017\enterprise\vc\tools\msvc\14.16.27023\atlmfc\include\afxwin1.inl	refs=14000b2c3
14000d030	Exception thrown in destructor	refs=14000b2ca
14000d050	%Ts (%Ts:%d)	refs=14000b301
14000d2f0	\\.\COM%d	refs=140005529
14000d730	HARDWARE\DEVICEMAP\SERIALCOMM	refs=1400054ad
14000d750	\Device\VCP0	refs=1400054e7
14000d790	This is the string A,This is the string B.	refs=140004cd5,1400048ba
14000d7e0	Unwrap_%.3f	refs=140004d13
14000d820	UnwrapJet_%.3f	refs=140004e46
14000d9a0	Phase Smoothing	refs=140005e22
14000d9c8	res\Holography.png	refs=140006771
14000d9e0	res\Shearography.png	refs=140006941
14000ee48	Only for 8 bits gray image!	refs=140008506,140008dc5,140008a15
1400101a0	.rdata	refs=
1400102e8	.data	refs=
140010318	.pdata	refs=
1400121f0	dog_windows_x64_3151774.dll	refs=
14001220c	mfc140.dll	refs=
14001221a	ClearCommError	refs=
14001222c	PurgeComm	refs=
140012238	ReadFile	refs=
140012244	GetLastError	refs=
140012254	GetOverlappedResult	refs=
14001226a	WaitForSingleObject	refs=
140012280	WriteFile	refs=
14001228c	SetEvent	refs=
140012298	SetCommMask	refs=
1400122a6	FlushFileBuffers	refs=
1400122ba	Sleep	refs=
1400122c2	SetThreadPriority	refs=
1400122d6	TerminateThread	refs=
1400122e8	CloseHandle	refs=
1400122f6	EnterCriticalSection	refs=
14001230e	LeaveCriticalSection	refs=
140012326	GetCommState	refs=
140012336	SetCommState	refs=
140012346	GetCommTimeouts	refs=
140012358	SetCommTimeouts	refs=
14001236a	SetupComm	refs=
140012376	GetCommModemStatus	refs=
14001238c	InitializeCriticalSection	refs=
1400123a8	DeleteCriticalSection	refs=
1400123c0	CreateEventA	refs=
1400123d0	CreateFileA	refs=
1400123de	ClearCommBreak	refs=
1400123f0	WaitCommEvent	refs=
140012400	ResetEvent	refs=
14001240e	InitializeCriticalSectionEx	refs=
14001242c	MultiByteToWideChar	refs=
140012442	InitializeCriticalSectionAndSpinCount	refs=
14001246a	WaitForSingleObjectEx	refs=
140012482	CreateEventW	refs=
140012492	GetModuleHandleW	refs=
1400124a6	GetProcAddress	refs=
1400124b8	RtlCaptureContext	refs=
1400124cc	RtlLookupFunctionEntry	refs=
1400124e6	RtlVirtualUnwind	refs=
1400124fa	UnhandledExceptionFilter	refs=
140012516	SetUnhandledExceptionFilter	refs=
140012534	GetCurrentProcess	refs=
140012548	TerminateProcess	refs=
14001255c	IsProcessorFeaturePresent	refs=
140012578	IsDebuggerPresent	refs=
14001258c	GetStartupInfoW	refs=
14001259e	QueryPerformanceCounter	refs=
1400125b8	GetCurrentProcessId	refs=
1400125ce	GetCurrentThreadId	refs=
1400125e4	GetSystemTimeAsFileTime	refs=
1400125fe	InitializeSListHead	refs=
140012612	KERNEL32.dll	refs=
140012622	IsWindow	refs=
14001262e	wsprintfA	refs=
14001263a	PostMessageA	refs=
14001264a	SendMessageA	refs=
14001265a	PostThreadMessageA	refs=
140012670	EnableWindow	refs=
140012680	LoadIconW	refs=
14001268c	GetSystemMenu	refs=
14001269c	AppendMenuA	refs=
1400126aa	GetDC	refs=
1400126b2	IsIconic	refs=
1400126be	GetSystemMetrics	refs=
1400126d2	GetClientRect	refs=
1400126e2	DrawIcon	refs=
1400126ee	ReleaseDC	refs=
1400126fa	SetTimer	refs=
140012706	KillTimer	refs=
140012712	GetCursorPos	refs=
140012722	GetWindowRect	refs=
140012732	PtInRect	refs=
14001273e	ClipCursor	refs=
14001274a	USER32.dll	refs=
140012758	SetStretchBltMode	refs=
14001276c	StretchDIBits	refs=
14001277c	DeleteObject	refs=
14001278c	CreatePalette	refs=
14001279c	DeleteDC	refs=
1400127a8	SelectObject	refs=
1400127b8	SetDIBColorTable	refs=
1400127cc	CreateCompatibleDC	refs=
1400127e2	GetObjectA	refs=
1400127f0	CreateDIBSection	refs=
140012804	StretchBlt	refs=
140012812	GetDIBColorTable	refs=
140012824	GDI32.dll	refs=
140012830	AlphaBlend	refs=
14001283e	TransparentBlt	refs=
14001284e	MSIMG32.dll	refs=
14001285c	RegOpenKeyExA	refs=
14001286c	RegQueryValueExA	refs=
140012880	RegCloseKey	refs=
14001288c	ADVAPI32.dll	refs=
14001289c	InitCommonControlsEx	refs=
1400128b2	COMCTL32.dll	refs=
1400128c2	GdiplusShutdown	refs=
1400128d4	GdipDrawImageI	refs=
1400128e6	GdipDeleteGraphics	refs=
1400128fc	GdipGetImageGraphicsContext	refs=
14001291a	GdipDisposeImage	refs=
14001292e	GdipFree	refs=
14001293a	GdipAlloc	refs=
140012946	GdipCloneImage	refs=
140012958	GdipCreateBitmapFromScan0	refs=
140012974	GdipBitmapUnlockBits	refs=
14001298c	GdipBitmapLockBits	refs=
1400129a2	GdipGetImagePalette	refs=
1400129b8	GdipGetImagePaletteSize	refs=
1400129d2	GdipGetImageWidth	refs=
1400129e6	GdipGetImageHeight	refs=
1400129fc	GdipGetImagePixelFormat	refs=
140012a16	GdipCreateBitmapFromFile	refs=
140012a32	GdiplusStartup	refs=
140012a42	gdiplus.dll	refs=
140012a50	KSJ_UnInit	refs=
140012a5e	KSJ_Init	refs=
140012a6a	KSJ_DeviceGetCount	refs=
140012a80	KSJ_PreviewGetDefaultFieldOfView	refs=
140012aa4	KSJ_PreviewSetFieldOfView	refs=
140012ac0	KSJ_CaptureSetFieldOfView	refs=
140012adc	KSJ_CaptureGetSize	refs=
140012af2	KSJ_StreamStart	refs=
140012b04	KSJ_CaptureSetRecover	refs=
140012b1c	KSJ_CaptureRawData	refs=
140012b32	KSJ_SetParam	refs=
140012b40	KSJApi64.dll	refs=
140012b50	__CxxFrameHandler3	refs=
140012b66	__std_terminate	refs=
